match_id,season,date,city,stadium,actual_name_stadium,venue,team1,team2,toss_winner,toss_decision,player_of_match,winner,winner_wickets,winner_runs,outcome,result_type,results,gender,event,match_number,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,eliminator,method,date_1
335982,2007/08,2008-04-18,Bangalore,M Chinnaswamy Stadium,Mangalam Chinnaswamy Stadium,Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,BB McCullum,Kolkata Knight Riders,0,140,,defended,140,male,Indian Premier League,1.0,Asad Rauf,RE Koertzen,VN Kulkarni,AM Saheba,J Srinath,,,
335983,2007/08,2008-04-19,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Inderjit Singh Bindra Stadium,Mohali,Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,MEK Hussey,Chennai Super Kings,0,33,,defended,33,male,Indian Premier League,2.0,MR Benson,SL Shastri,MSS Ranawat,RB Tiffin,S Venkataraghavan,,,
335984,2007/08,2008-04-19,Delhi,Feroz Shah Kotla,Arun Jaitley Cricket Stadium,Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,MF Maharoof,Delhi Capitals,9,0,,chased,9,male,Indian Premier League,3.0,Aleem Dar,GA Pratapkumar,,IL Howell,GR Viswanath,,,
335985,2007/08,2008-04-20,Mumbai,Wankhede Stadium,Sheshrao Krushnarao Wankhede Stadium,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,MV Boucher,Royal Challengers Bangalore,5,0,,chased,5,male,Indian Premier League,5.0,SJ Davis,DJ Harper,SN Bandekar,AV Jayaprakash,J Srinath,,,
335986,2007/08,2008-04-20,Kolkata,Eden Gardens,Eden Gardens,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,DJ Hussey,Kolkata Knight Riders,5,0,,chased,5,male,Indian Premier League,4.0,BF Bowden,K Hariharan,F Gomes,Asad Rauf,FM Engineer,,,
335987,2007/08,2008-04-21,Jaipur,Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,SR Watson,Rajasthan Royals,6,0,,chased,6,male,Indian Premier League,6.0,Aleem Dar,RB Tiffin,MSS Ranawat,I Shivram,S Venkataraghavan,,,
335988,2007/08,2008-04-22,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,V Sehwag,Delhi Capitals,9,0,,chased,9,male,Indian Premier League,7.0,IL Howell,AM Saheba,C Shamshuddin,MR Benson,Talat Ali,,,
335989,2007/08,2008-04-23,Chennai,"MA Chidambaram Stadium, Chepauk",M.A. Chidambaram stadium,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,ML Hayden,Chennai Super Kings,0,6,,defended,6,male,Indian Premier League,8.0,DJ Harper,GA Pratapkumar,S Ravi,BF Bowden,FM Engineer,,,
335990,2007/08,2008-04-24,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rajiv Gandhi International Stadium,Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,YK Pathan,Rajasthan Royals,3,0,,chased,3,male,Indian Premier League,9.0,Asad Rauf,MR Benson,C Shamshuddin,SL Shastri,S Venkataraghavan,,,
335991,2007/08,2008-04-25,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Inderjit Singh Bindra Stadium,Mohali,Punjab Kings,Mumbai Indians,Mumbai Indians,field,KC Sangakkara,Punjab Kings,0,66,,defended,66,male,Indian Premier League,10.0,Aleem Dar,AM Saheba,HS Sekhon,RE Koertzen,FM Engineer,,,
